Open,5/31/2024 21:38,Camp Verde,AZ,USA,Diamond,Diamond shaped white center glow/haze,5/31/2024,,Rocket
Open,5/31/2024 21:23,Grass Valley,CA,USA,Circle,"No noise, one speed, no blinking lights and not a normal satellite orbit.",6/1/2024,,Rocket
Open,5/31/2024 21:21,Tonto Basin,AZ,USA,Orb,"Orb of light floating from north to south. Extremely bright, orb of light around it like a plane in the clouds but there were no clouds",6/1/2024,Y,Rocket
Open,5/31/2024 21:10,Tucson,AZ,USA,Orb,Hovering blurry orb with dilating pinpoint of white light in the center,6/3/2024,,Rocket
Open,5/31/2024 21:08,Maricopa,AZ,USA,Other,"Appeared west out of nowhere, no clouds in sky, flew steady above us east/ disappeared, reappeared for a few seconds then disappeared",5/31/2024,Y,Rocket
Open,5/31/2024 21:08,Surprise,AZ,USA,Fireball,Looked like a huge fuzzy white object,5/31/2024,Y,Rocket
Open,5/31/2024 21:07,Henderson,NV,USA,Orb,Came out of the north Las Vegas Valley and headed south toward Anthem in Henderson NV a white ball with a bright light in the center,6/3/2024,Y,Rocket
Open,5/31/2024 21:07,Flagstaff,AZ,USA,Light,"Inexplicable, variable very fast and bright pinpoint light moving faster than satellite, symmetric halo/no trail",6/1/2024,Y,Rocket
Open,5/31/2024 21:07,Prescott,AZ,USA,Orb,"Small object seen hovering above with orb/fog like light surrounding it that changed in size, color, and intensity",5/31/2024,Y,Rocket
Open,5/31/2024 21:07,Apple Valley,CA,USA,Light,Bright object flying west to east,5/31/2024,,Rocket
Open,5/31/2024 21:06,Hemet,CA,USA,Light,Bright White Light with Foggy Glow but clear skys,5/31/2024,,Rocket
Open,5/31/2024 21:05,Fresno,CA,USA,Other,High in the sky a circular dark white center with lighter white fan shape on either side of the circle,6/1/2024,,Rocket
Open,5/31/2024 21:00,Apple Valley,CA,USA,Light,Second time seeing same craft in 7 day period,6/1/2024,,Rocket
Open,5/31/2024 21:00,Red Rock,AZ,USA,Orb,"At night, a white glow.",5/31/2024,,Rocket
Open,5/31/2024 19:00,Tonawanda,NY,USA,Orb,"Huge white Orb seen in Western NY that suddenly appeared, then moved Northwest and began to move away and fade away.",6/2/2024,,
Open,5/31/2024 15:42,Lincoln City,OR,USA,Unknown,Leaving store and seen a shimmering white object floating through the sky,6/3/2024,Y,Aircraft
Open,5/31/2024 11:30,Sacramento,CA,USA,Triangle,Triangle going way beyond the speed of sound heading north and no sound or sonic boom.,6/1/2024,,Aircraft?
Open,5/31/2024 9:05,Tempe,AZ,USA,Circle,Round white object with white shaped aura around each side,6/2/2024,,
Open,5/31/2024 7:35,Lenoir,NC,USA,Circle,Rounded shiny object which disappeared after 3 min or so observation,5/31/2024,,Balloon?
Open,5/31/2024 7:14,Sheboygan,WI,USA,Other,Saw what looked like a square box carrying a balloon underneath it traveling north,5/31/2024,Y,
Open,5/31/2024 5:10,Myrtle Beach,SC,USA,Light,Blinking light. It blinked very fast every couple of seconds. Blinked so fast impossible to freeze frame to see it.,6/2/2024,,
Open,5/30/2024 23:33,Croton-on-Hudson,NY,USA,Triangle,"A star I thought, that I was wishing on, and it suddenly moved to the left and hung there, then it moved to the right. Then back .",5/31/2024,,
Open,5/30/2024 22:10,Oak Park,CA,USA,Orb,"Pinpoint of light appeared at mountain ridge, streaked across sky, grew bigger than the moon within 0.3 seconds",6/5/2024,Y,
Open,5/30/2024 22:00,Shingle Springs,CA,USA,Orb,Brilliant Round Orange light slowly coming in from the Southeast and heading Northwest.,5/31/2024,,Chinese Lantern?
Open,5/30/2024 0:30,Junction City,OR,USA,Other,This has been ongoing,5/30/2024,Y,
Open,5/29/2024 22:45,Windham,ME,USA,Light,Regular intervals: ≥8 lights traveled one at a time moving N to S high in atmosphere. No tail/flickering. Disappeared ⅝ way across.,5/29/2024,,
Open,5/29/2024 21:15,Los Angeles,CA,USA,Fireball,Looked like a rocket launch but with no tail,5/29/2024,,
Open,5/29/2024 12:22,Milford,CT,USA,Changing,Saw an object go by very fast then came to a complete stop. It was changing shapes and looked like it had some kind of energy field,6/3/2024,Y,
Open,5/29/2024 12:00,Kinston,NC,USA,Cigar,It was 1 craft then it split in half.,5/29/2024,Y,
Open,5/29/2024 3:57,Philadelphia,PA,USA,Star,I was sitting in my car writing music and watching the stars. I noticed one moving and recorded it traveling unusual pattern,6/1/2024,Y,Satellite
Open,5/28/2024 20:30,Lake George,NY,USA,Cube,Two “women” were walking down the road and two white cubes appeared and took them up into the sky and they disappeared.,5/28/2024,,
Open,5/28/2024 17:36,Ormond Beach,FL,USA,Oval,"Oval-shaped, no wings, shiny chrome, flying higher than the airplanes",5/28/2024,,
Open,5/28/2024 8:46,Bayonne,NJ,USA,Oval,I was recording 2 military jets when I noticed 7 UAP’s,6/4/2024,Y,
Open,5/27/2024 23:22,Susanville,CA,USA,Light,Pairs of white lights that slowly disappear going straight up,5/28/2024,Y,Starlink?
Open,5/27/2024 20:55,Overland,MO,USA,Diamond,7 then 5 then one alone all white diamonds with bright red-orange inner circle no noise moved left to right all three groups vanished,5/27/2024,,Chinese Lantern?
Open,5/26/2024 17:00,Northport,NY,USA,Disk,Saw a UAP at northport middle school on 5/26/24 at 5pm,5/30/2024,,
Open,5/25/2024 22:45,Mulberry,IN,USA,Light,Solid bright light that faded and disappeared,5/25/2024,,
Open,5/25/2024 20:00,Cumming,GA,USA,Cylinder,Very high up slow pulsing cylinder,5/25/2024,,Satellite?
Open,5/25/2024 18:30,Delhi,CA,USA,Cylinder,Saw a cylindrical object that was stationary and it disappeared,5/25/2024,,
Open,5/25/2024 12:39,West Islip,NY,USA,Unknown,Weekend of Bethpage Airshow - was looking for anything in the sky. Saw UAP.,5/25/2024,,
Open,5/25/2024 10:03,Henderson,NV,USA,Light,I was traveling on an comercial flight when I look up in the window of the airplane and saw 2 lights that transformed into 3.,6/2/2024,Y,
Open,5/25/2024 9:33,Paris,ME,USA,Circle,Saw craft with low light move quick across are observe. Then it look as if it turned on thrusters to push itself away into space,5/26/2024,,
Open,5/24/2024 23:29,Loomis,CA,USA,Sphere,"Recorded video of a glowing green-white orb over new Costco in Loomis, CA.",5/26/2024,Y,
Open,5/24/2024 15:15,Chatham,NY,USA,Oval,Black stone like object disappear,5/24/2024,,
Open,5/24/2024 2:40,Wantagh,NY,USA,Cigar,Cigar shape lasted 5 mins up in sky next to multiple planes that went by and when ran for camera and binoculars it disappeared,5/24/2024,,
Open,5/23/2024 21:34,Phoenix,AZ,USA,Orb,Glowing light that had a haze around it as if it was a cloudy night. Full moon not a cloud in the sky. Seemed to just be stationary.,5/23/2024,,Rocket
Open,5/23/2024 21:17,Las Vegas,NV,USA,Light,Walking west on Beauchamp and saw a dark craft with white lights on each side. Object was moving much faster than a plane.,5/24/2024,Y,Rocket
Open,5/23/2024 21:15,Buckeye,AZ,USA,Circle,Circular orb emitting white light,5/24/2024,,Rocket
Open,5/23/2024 21:15,Tempe,AZ,USA,Circle,Saw an object in the sky of a very different shape,5/24/2024,Y,Rocket
Open,5/23/2024 21:15,Auberry,CA,USA,Triangle,"Craft seen by two men on a cabin deck, no noise and a quick takeoff.",5/24/2024,,
Open,5/23/2024 21:15,Tucson,AZ,USA,Cylinder,it was moving fast than it faded into the sky and than showed again than just disappeared,5/24/2024,Y,Rocket
Open,5/23/2024 21:15,Upland,CA,USA,Circle,Round bright light. Cloudy conditions which reflect the light on the sides. Was moving at medium steady speed,5/24/2024,Y,Rocket
Open,5/23/2024 21:14,Big Bear,CA,USA,Light,Light appeared rapidly from the west side of the sky heading slowly towards the east and began to dim and finally disappeared,5/25/2024,Y,Rocket
Open,5/23/2024 21:13,Big Bear,CA,USA,Sphere,UFO over Big Bear Mountains,5/25/2024,Y,Rocket
Open,5/23/2024 21:12,Brentwood,CA,USA,Light,"The sky was totally clear, no clouds. Very bright light looked obscured with clouds despite no cloud coverage",5/24/2024,Y,Rocket
Open,5/23/2024 21:00,Prescott Valley,AZ,USA,Orb,Bright orb surrounded by haze,5/24/2024,,Rocket
Open,5/23/2024 4:15,Mountain Ranch,CA,USA,Circle,Very slow smoothly moving craft that didnt blink,5/23/2024,Y,Rocket
Open,5/23/2024 1:49,Menomonie,WI,USA,Rectangle,Long rectangular object with 4 rows/20 columns evenly spaced solid lights. Object not parallel but angled @ 20 degrees. Faded away.,5/24/2024,,
Open,5/23/2024 0:30,Yukon,OK,USA,Oval,I went outside to check out some lights I thought were planets.,6/6/2024,,
Open,5/22/2024 23:15,Lake Sumner,NM,USA,Orb,9 orange orbs in 3 groups,5/25/2024,,
Open,5/22/2024 22:40,Alafaya,FL,USA,Cigar,"Bright yellow light, low in the sky, could see it was long as I got closer, it wasn’t moving",5/22/2024,,
Open,5/22/2024 22:35,Paulden,AZ,USA,Formation,"When I walked outside, there was a diagonal line formation of lights, similar to the Phoenix Lights, 5 turned into 4, into 3, into 0",5/23/2024,,
Open,5/22/2024 22:20,Kissimmee,FL,USA,Star,What I thought was a star appeared and then started moving across the sky slowly and then dissipated,5/24/2024,,
