Link,Occurred,City,State,Country,Shape,Summary,Reported,Media,Explanation
Open,4/7/2024 21:58,Bowling Green,KY,USA,Orb,"Standing on porch, saw glowing orb moving fast in the sky then disappear and within 2 minutes glowing orb reappeared",4/7/2024,,
Open,4/7/2024 21:03,Coudersport,PA,USA,Light,Strange light with a halo flew with cloud,4/9/2024,,
Open,4/7/2024 20:17,Cape Coral,FL,USA,Light,A blinking green light moving rapidly horizontally from west to east and then east to west,4/7/2024,,
Open,4/7/2024 20:09,Spring Hill,FL,USA,Oval,Looking up at the early evening sky and noticed the object hovering directly above at approximately 10 thousand feet.,6/8/2024,Y,
Open,4/7/2024 15:00,Boulder City,NV,USA,Unknown,3 ufos- 2 small whites chased by 1 large black,5/30/2024,,
Open,4/7/2024 10:24,Grand Canyon Village,AZ,USA,Circle,2 disk silver objects traveling at extreme speed disappeared into a cloud vortex,4/8/2024,Y,Aircraft?
Open,4/7/2024 2:00,Rodanthe,NC,USA,Orb,Outer Banks Orb/Light Sighting,4/9/2024,Y,
Open,4/6/2024 23:45,Corte Madera,CA,USA,Disk,A dark gray disk at least 100m wide flew over head as I was driving,4/7/2024,,
Open,4/6/2024 22:10,Clarendon,TX,USA,Triangle,A low flying triangular craft which unnaturally sped into and out of the sighting location.,4/7/2024,,
Open,4/6/2024 12:30,Arthur,IL,USA,Oval,I took a picture as my husband was driving. I caught a white Tic Tac shaped object flying in the sky.,4/25/2024,Y,
Open,4/6/2024 12:05,Muncie,IN,USA,Formation,Formation of 7 UFOs made patterns in the sky before following a pure white Jet.,4/6/2024,Y,
Open,4/6/2024 0:18,Keokuk,IA,USA,Orb,"Ball of light changing direction like no known aircraft capability, exiting at extremely high rate of speed.",4/6/2024,Y,
Open,4/5/2024 21:15,Fayetteville,AR,USA,Other,Large silent hyperbolic shaped object seen flying overhead while soaking in hot tub along with other objects,4/5/2024,,
Open,4/5/2024 5:25,Cocoa Beach,FL,USA,Cylinder,"Extraordinarily fast, unbelievably quiet, whitish kind of translucent.",4/7/2024,,
Open !,4/5/2024 3:50,Rock Island,IL,USA,Other,Crazy Light was first..,4/7/2024,,
Open,4/4/2024 23:58,Benbrook,TX,USA,Other,pyramid shape pointing and leading with the top of the pyramid almost like a video game interaction,4/5/2024,,
Open,4/4/2024 7:10,McCalla,AL,USA,Rectangle,Stationary rectangle with sun glinting off of it.,4/8/2024,,
Open,4/4/2024 2:00,Nowata,OK,USA,Light,"Lights appear, then disappear. Would sometimes show up as 1, or 2, or 3.",4/4/2024,,
Open,4/4/2024 1:00,Punta Gorda,FL,USA,Teardrop,"At tree top level, no sound,moving maybe 40mph,pink white blue foggy look",4/4/2024,,
Open,4/3/2024 22:28,Dallas,TX,USA,Disk,I was falling asleep when I saw lights on the sky I opened the blinds and there I saw it flying in a straight path going over my home,4/4/2024,,
Open,4/3/2024 21:00,Bluffton,SC,USA,Changing,"Object was translucent, traveling northwest, much faster than familiar aircraft, and large.",4/4/2024,,
Open,4/3/2024 9:30,Geneva,IN,USA,Changing,Was driving to a plumbing call when a moving object appeared in the sky.,4/3/2024,,
Open,4/3/2024 8:45,Lancaster,PA,USA,Unknown,theres construction near here and i was taking a walk and i saw a red thing about 5 of them and they zoomed over me,4/4/2024,,
Open,4/2/2024 20:35,Muscle Shoals,AL,USA,Changing,Object broke off from one and headed west nort west at high speeds,4/10/2024,Y,
Open,4/2/2024 19:29,Gravelles,WA,USA,Teardrop,"Two Craft enter atmosphere, hovers in place then disappears.",4/2/2024,Y,Space Junk
Open,4/2/2024 19:17,Portland,OR,USA,Orb,"I was walking, observing the sunset, when I noticed a metallic sphere moving parallel to the ground. I took a video and photo.",4/3/2024,Y,Balloon?
Open,4/2/2024 12:30,Goodyear,AZ,USA,Sphere,Two silent objects slowly drifting and changing direction of travel.,4/3/2024,Y,
Open,4/2/2024 1:43,Los Angeles,CA,USA,Circle,Came from seaside. Looked like burning but didn't actually burn I guess,4/2/2024,Y,Space Junk
Open,4/1/2024 18:00,Los Angeles,CA,USA,Other,Flying object,4/5/2024,,
Open,3/31/2024 21:39,Apex,NC,USA,Circle,I have 4:09 video of ufo in sky over Nc,4/8/2024,Y,
Open,3/31/2024 18:00,Ottumwa,IA,USA,Rectangle,It was a white car shaped object,4/10/2024,,
Open,3/31/2024 3:19,Seattle,WA,USA,Circle,UFO with red/white light seen in Seattle,3/31/2024,Y,Drone?
Open,3/30/2024 22:15,Johnson City,KS,USA,Orb,Big bright glowing orb,3/30/2024,,
Open,3/30/2024 22:05,Half Moon Bay,CA,USA,Light,"This light in the night sky was slightly larger than the stars but much more brilliant, constantly flashing multiple colors.",3/31/2024,Y,Planet/Star?
Open,3/30/2024 21:10,Mooresville,NC,USA,Circle,"Below plane level. Silent, very bright. Come from the NW, travelled over the back on my property to side of the house then it was gone.",3/31/2024,Y,
Open,3/30/2024 21:00,Concord,NH,USA,Sphere,Disco balls,3/30/2024,,
Open,3/30/2024 20:30,Vicksburg,MS,USA,Light,High Altitude Object,4/4/2024,Y,
Open,3/30/2024 20:09,Buckeye,AZ,USA,Rectangle,"Bright light appeared in sky, traveled 2-3 min, light dissipated and could no longer see.",3/31/2024,Y,Rocket?
Open,3/30/2024 15:36,Middleburg,FL,USA,Orb,Traveled the whole view of the sky in a second or two,3/30/2024,,
Open,3/30/2024 5:58,Glendale,AZ,USA,Teardrop,Seen something that looked like a laynard in the sky cruising by,4/2/2024,Y,
Open,3/29/2024 23:11,Meridian,PA,USA,Unknown,"Taking pictures of stars, saw something weird",3/29/2024,Y,
Open,3/29/2024 22:00,Springfield,MI,USA,Unknown,Did not fly in a straight line,3/29/2024,,
Open,3/29/2024 21:09,Pepperell,MA,USA,Rectangle,Lost power and went outside 10min after and noticed this very large horizontal string of lights,3/29/2024,Y,Planet/Star
Open,3/29/2024 20:08,Muncy,PA,USA,Egg,Egg shape lasting 7 hours.,4/4/2024,Y,
Open,3/29/2024 19:36,Timonium,MD,USA,Rectangle,rectangular object with many colored lights on the bottom moving from one side to the other,4/3/2024,,
Open,3/29/2024 9:58,Virginia Beach,VA,USA,Cylinder,Silver Cylinder moving slowing in the sky.,3/29/2024,Y,
Open,3/28/2024 19:59,Bulverde,TX,USA,Rectangle,"While reviewing pictures of a full rainbow, the camera detected an anomaly that was not visible with the naked eye",3/31/2024,Y,
Open,3/28/2024 19:45,Hohenwald,TN,USA,Star,Noticed at first what we thought was a star that just appeared out of nowhere and moved from NW to SE very erractic.,3/28/2024,,
Open,3/28/2024 17:05,Altadena,CA,USA,Rectangle,"The video tells it all. I saw something, assumed it was nothing, then pulled over and filmed it, and then it disappeared.",3/29/2024,,Aircraft
Open,3/28/2024 7:06,Delray Beach,FL,USA,Unknown,"Walking dogs with my wife, and this weird formation floated across the sky and looked like it was morphing.",3/30/2024,,Balloon
Open,3/28/2024 0:30,Las Vegas,NV,USA,Light,A white light appeared then vanished,4/29/2024,,
Open,3/27/2024 22:01,Toledo,OH,USA,Other,2 fast moving gray objects (like 2 curved inverted v's) flying nw to se direction,3/27/2024,,
Open,3/27/2024 21:45,Woodward,TX,USA,Light,Pulsing yellow-orange lights,3/27/2024,,
Open,3/27/2024 20:58,Artesian,AR,USA,Circle,Equidistant solid lights heading for the head of Orion and disappearing,3/27/2024,,Starlink
Open,3/27/2024 18:43,Stamford,CT,USA,Other,Orbiting UFO spotted near rainbow,3/28/2024,Y,Balloon
Open,3/27/2024 3:13,Corrales,NM,USA,Diamond,Photo of Diamond-Shaped Silver Object,3/29/2024,Y,
Open,3/27/2024 2:00,Chuckey,TN,USA,Cigar,Flying west to east above liberty church drive cigar shape 1 half still on fire - fire went out and a trail of smoke was seen,4/22/2024,,
Open,3/26/2024 23:20,Rigby,ID,USA,Triangle,Three balls of light in a triangle shape that were about two hundred feet off the ground were moving a slow pace.,3/30/2024,,
Open,3/25/2024 22:50,Weare,NH,USA,Changing,"Changing shapes, spinning multi-colored lights, portal jagged edges, disc w/ beams of light, low and high in sky.",3/26/2024,Y,
Open,3/25/2024 21:15,Roeland Park,KS,USA,Triangle,"Flashing light object floating around irregularly in the sky. It hovers, and maeuvers in ways planes can’t.",3/25/2024,Y,
Open,3/25/2024 20:30,Austin,TX,USA,Changing,Saw a strange light moving across sky. Looked like it was flying through clouds but there were no clouds.,3/25/2024,Y,Rocket
Open,3/25/2024 20:30,Mesquite,TX,USA,Light,A craft within a hazy cloud around it crossing the sky.,3/26/2024,,Cloud?
Open,3/25/2024 20:22,Katy,TX,USA,Changing,Crazy,3/25/2024,,Rocket?
Open,3/25/2024 20:20,Houston,TX,USA,Orb,A clouded light moving across the night sky.,3/25/2024,,
Open,3/25/2024 20:20,Waco,TX,USA,Circle,Floating foggy white circular orb. Traveled northwest to southeast,3/25/2024,,Rocket
Open,3/25/2024 20:16,Round Top,TX,USA,Orb,Glowing light and O ring smoke,3/25/2024,,Rocket
Open,3/25/2024 20:16,Port Aransas,TX,USA,Orb,White orb floating towards the ocean horizontally,3/25/2024,,
Open,3/25/2024 20:16,Waco,TX,USA,Changing,An out of focus circle appeared and moved quickly. The blue light formed from the circle and then projected two smaller lights outward.,3/25/2024,Y,Rocket
Open,3/25/2024 20:16,Houston,TX,USA,Orb,Walking outside and noticed something bright flying in our direction i began recording,3/25/2024,,Rocket
Open,3/25/2024 20:15,Leander,TX,USA,Orb,I saw a white orb floating in the sky going up. It then sent a circular ring of propulsion or clouds outwards before it ascended,3/25/2024,,Rocket
Open,3/25/2024 20:15,Copperas Cove,TX,USA,Light,White orb separating into multiple orbs,3/25/2024,,Rocket
Open,3/25/2024 20:13,Whitney,TX,USA,Circle,Looking due west I see a strange light traveling across the sky.,3/25/2024,,Rocket
Open,3/25/2024 20:05,Rusk,TX,USA,Light,Circular glowing light.,3/25/2024,,Rocket
Open,3/25/2024 14:25,New York,NY,USA,Cigar,Black object/craft flying closely to american commercial flight at remarkable speeds.,3/31/2024,Y,
Open !,3/25/2024 14:25,New York,NY,USA,Cylinder,Black flying cylinder object at eye level to me on airplane.,3/26/2024,Y,Balloon
Open !,3/24/2024 19:49,Temple,TX,USA,Triangle,"A pyramid-shaped black object the size of a basketball flying above the clouds 150ft from our plane. Had no wings, propellers, or trail",3/26/2024,,
Open,3/23/2024 13:32,Surprise,AZ,USA,Orb,3 orbs moving in unnatural flying patterns,3/23/2024,Y,
Open,3/23/2024 11:58,Lawrenceville,GA,USA,Formation,Observed structured lights following a plane. UAP changed position relative to the plane it was following with a smooth quickness.,3/23/2024,,
Open,3/22/2024 20:59,Wheeler,WI,USA,Orb,I was try,3/23/2024,Y,Camera Anomaly
Open,3/21/2024 21:57,Bapchule,AZ,USA,Fireball,A slowly streaking orange glow dispersed into many fragments before disappearing and then there were formations made by pins of light,3/22/2024,Y,
Open,3/21/2024 21:19,Oliver Springs,TN,USA,Light,I was driving home from my girlfriends house and looked up and saw this craft in the sky with a bright light that was pulsating.,5/1/2024,Y,
Open,3/21/2024 21:10,St. George,UT,USA,Other,Observed a sheer white pulsating object moving high in atmosphere moving from southwest to northeast of my position,3/21/2024,,
Open !,3/21/2024 20:50,Jacksboro,TN,USA,Triangle,"Black triangle craft silently traveling directly above me, emitting no sound save for a humming vibration that I could feel and hear.",3/21/2024,Y,
Open,3/21/2024 20:00,Orland,CA,USA,Changing,Bright white light at first. Twin lights eventually with strobe on the left of them. White lights,3/23/2024,,
Open,3/21/2024 12:40,Colorado Springs,CO,USA,Sphere,Spotted a sphere-like metallic object to the northeast while on the walking path.,3/21/2024,,
Open,3/21/2024 9:00,Hudson,CO,USA,Oval,I saw 2 objects above and to the left of me and then they simply disappeared,3/21/2024,,Balloon?
Open,3/21/2024 5:54,Oak Hill,WV,USA,Circle,It was late at night and i went to go take my dog out to use the bathroom and I saw a suspected ufo flying around my house,3/21/2024,Y,Aircraft?
Open,3/20/2024 19:30,Centralia,WA,USA,Cylinder,Black cylinder with an orange light,3/21/2024,Y,
Open,3/20/2024 3:55,Surf City,NC,USA,Oval,Two police officers on night shift noticed 2 lights above the horizon moving laterally then horizontally.,3/20/2024,,
Open,3/20/2024 2:45,Williamstown,KY,USA,Fireball,"Bright green orb came straight down from the sky into the lake, followed by a second green orb that appeared closer to me then shot off",3/20/2024,,
Open,3/19/2024 23:40,Las Vegas,NV,USA,Orb,Watched orb hover for 20 minutes,3/20/2024,Y,
Open,3/19/2024 23:09,Albuquerque,NM,USA,Circle,"I did not see the exact sighting, and I’m not entirely sure what it is but it was caught on my security camera",3/28/2024,Y,
Open,3/19/2024 22:22,Provo,UT,USA,Light,had my camera with me when i spotted this object moving back and forth in the sky changing colors as well,3/20/2024,,
Open,3/19/2024 22:15,Whitmore Lake,MI,USA,Circle,I saw a light going up down and all around. They weren't going straight and did not blink,3/19/2024,,
Open,3/19/2024 14:00,Surprise,AZ,USA,Unknown,After pulling out of Crumbl cookies heading west down Waddell Rd I saw a V shaped object in the sky moving in weird angles.,3/20/2024,,
Open,3/19/2024 3:08,Mattoon,IL,USA,Light,2 lights spotted over Mattoon,3/19/2024,,
Open,3/19/2024 2:18,,MD,USA,Formation,I tried to take photo /video but my phone shut right off as if it wasn’t fully charged this ship was massive it was no sound lost time,3/20/2024,,
Open,3/18/2024 22:53,Oak Harbor,WA,USA,Orb,"ORB became visible 145 degrees 20 miles from my home deck at an estimated altitude of 10,000 FEET",3/27/2024,,
Open,3/18/2024 19:34,Los Angeles,CA,USA,Light,Object in sky peculiar air trail. 2 lights-Objects in its trail,3/18/2024,Y,Rocket
Open,3/18/2024 10:15,Portland,OR,USA,Cube,"A silent silver cube flashing in the sun, hovering and swooping around.",4/5/2024,Y,
Open,3/18/2024 9:34,Rancho Cordova,CA,USA,Other,Saw unk shape object just darker that the surrounding sky. moving north,3/18/2024,,
Open,3/17/2024 20:40,Millville,MA,USA,Flash,Pulsing light moved towards the moon and then away from the moon at a 90 degree angle,3/17/2024,,
Open,3/17/2024 19:20,Palm Desert,CA,USA,Triangle,"The object appeared from the right to left directly in front, then stopped mid-air. Was low enough to see shape and lights underneath.",3/18/2024,,
Open,3/17/2024 16:02,Reading,MA,USA,Disk,Upright chrome disk changing positions instantly. Unnatural movement,5/3/2024,,
Open,3/16/2024 23:40,Ironton,OH,USA,Other,Spotted silent key like objects in sky,3/16/2024,,
Open,3/16/2024 12:15,Spokane,WA,USA,Changing,"What at first glance appeared birdlike., not so much no",3/17/2024,,
Open,3/16/2024 1:30,Leicester,MA,USA,Oval,One smaller yellow oval shaped out of nowhere toward the larger squarish shaped object and hovered than both slowly disappeared,3/16/2024,,
Open,3/16/2024 0:12,Carrizozo,NM,USA,Circle,"My parent’s ring camera capture the object slowly moving across the sky at 12-12 am to 1:10 am, it traveled from south to north.",3/16/2024,Y,
Open,3/15/2024 23:36,Daytona Beach,FL,USA,Formation,Eight lights abreast flying northward,3/15/2024,,
Open,3/15/2024 23:18,Spokane,WA,USA,Other,"Barely visible, like it was camouflaged specifically for human perception, only the movement gave its shape away",3/16/2024,,
Open,3/15/2024 21:11,Cincinnati,OH,USA,Orb,I was walking from parking a truck I looked up admiring the night sky when something caught my eye 2 orb like objects.,3/15/2024,,
Open,3/15/2024 20:30,Portland,OR,USA,Light,"I've been seeing these lights since January 15, 2024; they appear stationary but drift west and shimmy.",3/18/2024,Y,Planet/Star?
Open,3/15/2024 20:25,Largo,FL,USA,Triangle,we saw the object approaching our location from the north east at a high speed,3/15/2024,,
Open,3/15/2024 20:20,Bainbridge Island,WA,USA,Changing,Bright white light moving slowly then turned red and receded until it disappeared,3/15/2024,,
Open,3/15/2024 14:28,,IL,USA,Orb,I have seen these every night since April 4th of 2023 100s every night until now.,4/29/2024,Y,
Open !,3/15/2024 12:30,Springfield,OR,USA,Sphere,"30-50' diameter light burnt orange sphere which came from the west/southwest over my farm, flew for 20-30 miles before disappearing.",3/15/2024,,
Open,3/15/2024 10:53,Pasco,WA,USA,Cylinder,"Spinning upright cylindrical object descends, hovers in place and drifts before ascending more quickly.",3/15/2024,Y,
Open,3/15/2024 4:45,Oconomowoc,WI,USA,Circle,Seen in a farm field,3/15/2024,,
Open,3/15/2024 4:07,Cedar Rapids,IA,USA,Light,3 white lights suddenly dart & turn,3/16/2024,Y,
Open,3/14/2024 16:45,Harwinton,CT,USA,Sphere,Driving on highway in a wooded area and saw a chrome like sphere object hovering in one spot quietly.,3/16/2024,,
Open,3/13/2024 23:55,Waynesville,OH,USA,Other,Seen as I exited my car after returning home from work.,3/26/2024,,
Open,3/13/2024 22:56,Rochester,NY,USA,Egg,8 egg shape crafts moving very fast in a v formation.,3/13/2024,,
Open,3/13/2024 20:46,Kettle Falls,WA,USA,Unknown,"Dark patch appeared, blocking stars. Blinding white flash in the center, object disappeared",3/13/2024,,
Open !,3/13/2024 3:20,Idaho Falls,ID,USA,Chevron,"Inverted v shaped, 7 bright lights,fast moving , no sound traveling north to northeast",3/15/2024,,
Open,3/13/2024 2:08,Plymouth,MN,USA,Sphere,I witnessed a ufo go above my head glowing bright green with a yellow center!,3/27/2024,,
Open,3/12/2024 20:33,Twin Falls,ID,USA,Orb,I had my tripod with my IR camera I was trying to initiate contact with a laser from the evidence on my video I obviously did,4/30/2024,Y,
Open,3/12/2024 11:00,Platteville,WI,USA,Changing,5 Crafts in Formation,3/12/2024,,
Open,3/12/2024 4:40,Fort Smith,AR,USA,Unknown,"Immediately after watching Space X Dragon flew over us, an unknown curved shaped object flew the opposite way. No lights. No sounds.",3/12/2024,,
Open,3/11/2024 22:11,Oscoda,MI,USA,Fireball,"Stunningly well-defined ball of white, green and red colored lights, as it was falling!",3/12/2024,,
Open,3/11/2024 21:30,Hopewell,VA,USA,Formation,Six or seven lights on sky. Seemed quite close.,3/11/2024,,
Open,3/11/2024 21:12,Richmond,VA,USA,Other,"5-8 orb-shaped lights, in a perfectly straight row heading SE then suddenly disappearing.",3/29/2024,Y,Starlink?
Open,3/11/2024 20:20,Hermon,ME,USA,Star,"Driving, saw an enormous star. Started to move, then got huge and flew right over the road in front of my car.",5/23/2024,Y,
Open,3/11/2024 16:03,Louisville,KY,USA,Orb,Stationary pulsating silver orb,3/19/2024,Y,
Open,3/11/2024 7:58,Lenoir,NC,USA,Oval,Two white/metallic oval-sphere unidentifiable objects moving in unison through sky at a steady speed.,3/11/2024,,Aircraft?
Open,3/11/2024 2:55,St. Clair Shores,MI,USA,Unknown,I viewed an extremely bright white object falling rapidly with orange exhaust almost in lines.,3/11/2024,,
Open,3/10/2024 22:00,Phoenix,AZ,USA,Orb,"Flew in a large oval, about 2 miles, size of a car, flying about 12,000 ft high about 40(?) mph",3/12/2024,Y,Chinese Lantern
Open,3/10/2024 21:13,San Diego,CA,USA,Cigar,Red light appeared with a comet like wake traveling west to southeast over San Diego,3/10/2024,Y,Rocket
Open,3/10/2024 21:10,Santa Maria,CA,USA,Other,"Driving on highway, mom sees bright sphere being powered by some sort of fire. Then shoots something and goes away.",3/10/2024,,Rocket
Open,3/10/2024 21:09,Santa Maria,CA,USA,Circle,It was near by north bound on hwy 101 mountain or hillside.,3/10/2024,Y,Rocket
Open,3/10/2024 15:14,Redondo Beach,CA,USA,Egg,I'm a photographer and I was on the pier shooting images of sailboats and the kite festival. You can see the UAP in the photo.,3/10/2024,Y,
Open,3/10/2024 11:43,Laguardo,TN,USA,Orb,"The cluster or orbs were kind of stationary, but moved about within the group.",3/16/2024,Y,Bird?
Open,3/9/2024 20:24,Palm Springs,CA,USA,Chevron,I saw a massive dark V-shaped craft covered in small lights traveling across the western sky and over the San Jacinto mountains.,3/11/2024,Y,
Open,3/9/2024 18:30,Oro Valley,AZ,USA,Other,"Bright white with some translucency (seeing “aura” listed as a characteristic below is appropriate). One of us saw some red, also.",3/9/2024,Y,
Open,3/9/2024 17:40,El Monte,CA,USA,Other,Two lights were flying in the sky by the craft or ship they were attached to was invisible,3/12/2024,,Drone?
Open,3/9/2024 14:45,Minneapolis,MN,USA,Rectangle,Metallic silver object that was highly reflective,3/10/2024,,
Open,3/9/2024 12:14,Jupiter,FL,USA,Sphere,I was driving north bound on 95 coming home from a camping trip and my son and I saw a floating orb. No mistaking it as balloon or plan,3/14/2024,Y,
Open,3/9/2024 10:38,Thornton,CO,USA,Other,"I saw 2 potential UAP's, 1 that was a morphing blob and 1 White Cigar",3/9/2024,,
Open,3/8/2024 21:32,St Paul,MN,USA,Circle,Looked east clear sky noticed an orb,3/24/2024,Y,
Open,3/8/2024 21:30,Solvang,CA,USA,Cylinder,What is this?,3/8/2024,Y,
Open,3/8/2024 20:26,Lakewood,CO,USA,Light,"A hand above the horizon, streaking from NE to SW an orange, yellow, round light appaered and disappeared.",3/8/2024,,
Open,3/7/2024 19:10,West Fairlee,VT,USA,Light,Very bright yellow light in the low sky that changed to a very dim red blinking light,3/7/2024,,Aircraft?
Open,3/7/2024 19:05,Lowville,NY,USA,Light,Lights in a string very oddly lighting,3/8/2024,Y,
Open,3/7/2024 18:51,Locust Valley,NY,USA,Disk,UFO went across the sky slowly,3/10/2024,,
Open,3/7/2024 18:20,Talbot,OR,USA,Light,Bright ball of light blinks away,3/10/2024,,
Open,3/7/2024 12:30,Tinley Park,IL,USA,Other,Balloon? Other?,3/17/2024,Y,Balloon?
Open,3/7/2024 2:45,Sioux Falls,SD,USA,Chevron,Very large chevron descending.,3/7/2024,,
Open,3/6/2024 21:16,Harlingen,TX,USA,Orb,There were 4 flying objects in the same area. They all went in different directions 2 went to Mexico area,3/17/2024,,
Open,3/6/2024 21:11,Pensacola,FL,USA,Unknown,Three white lights that moved together,3/6/2024,Y,
Open,3/5/2024 23:55,Oxnard,CA,USA,Light,Watching Sunkist plant fire from 5m distance and thought I was watching embers fly but realized not embers and believe it to be UFO UAP,6/1/2024,Y,
Open,3/5/2024 20:38,Eau Claire,WI,USA,Other,An object with two flashing lights hovering for about 5 minutes no sound.,3/5/2024,,Aircraft?
Open,3/5/2024 19:30,Santa Barbara,CA,USA,Circle,Noticed a stationary round object with LOTS of flashing white lights,3/19/2024,,
Open,3/5/2024 19:00,Johnston,IA,USA,Oval,Fixed cluster of greenish lights traveling from east to west in the northern sky.,3/5/2024,,
Open,3/5/2024 18:20,Mount Vernon,WA,USA,Unknown,Driving home from getting pizza when noticed a bright light in the sky from afar,3/6/2024,Y,Contrail
Open,3/5/2024 16:42,Tampa,FL,USA,Orb,Saw Orb shaped object over water,3/12/2024,Y,
Open,3/5/2024 12:47,Corona,CA,USA,Orb,Initially we observed a ballon like object floating in the sky that moved and converged with a second object,3/7/2024,Y,
Open,3/5/2024 11:37,Kansas City,MO,USA,Light,"A light, the size of my hand, not round, moved through the sky almost like a fairy or dragonfly would.",3/6/2024,,
Open,3/5/2024 10:56,Fairmont,WV,USA,Circle,they were both stationary for the few minutes I watched and then they both flew straight up and through a cloud,3/5/2024,,
Open,3/5/2024 0:20,Ocean Shores,WA,USA,Cigar,Glowing outline of something huge slowly pulsated thru low clouds as it moved silent and slowly along the beach,3/5/2024,,
Open,3/4/2024 23:59,Weston,WI,USA,Fireball,"Invisible/Blurry object left a streak, stopped or slowed, then zoomed off.",5/12/2024,Y,
Open,3/4/2024 23:00,Orlando,FL,USA,Orb,We watched the space x crew 8 launch. After we saw 4 orbs of light.,3/16/2024,,
Open,3/4/2024 19:45,Loveland,CO,USA,Cube,Reflective cube seen rotating in the northern sky.,3/4/2024,,
Open,3/4/2024 19:35,Pampa,TX,USA,Circle,Saw a super bright dot (what we thought was a star) but noticed it was moving so decided to film it,3/4/2024,Y,Rocket
Open,3/4/2024 19:31,Midland,TX,USA,Other,At sunset I was sitting on my porch and saw two crafts.,3/4/2024,Y,Rocket
Open,3/4/2024 19:30,Canby,MN,USA,Cube,Strange object observed while inflight,3/4/2024,Y,Rocket
Open,3/4/2024 19:29,Amarillo,TX,USA,Fireball,Glowing light moved slowing across sky and then expanded an apparatus in front of it for a few seconds until vanishing.,3/6/2024,Y,Rocket
Open,3/4/2024 19:27,Stillwater,OK,USA,Circle,"Driving westbound just after sunset, a glowing orb of light in the SW sky was hovering and moving sound a localized position.",3/5/2024,,Rocket
Open,3/4/2024 19:25,Sanford,TX,USA,Oval,Shiny but like a light,3/4/2024,,Reflection
Open,3/4/2024 19:15,Lubbock,TX,USA,Light,A white-bright light moving to the South-East disapearing after ejecting a white vopor-like cloud ahead of itself.,3/4/2024,,Rocket
Open,3/4/2024 19:00,Santa Fe,NM,USA,Orb,We witnessed a hazy orb of light approach from the sunset SW horizon cross overhead and change from a a hazy cloud into a single light,3/4/2024,,Rocket
Open,3/4/2024 18:50,Albuquerque,NM,USA,Orb,"Two luminous orbs of light, no exterior propulsion, highly maneuverable",3/7/2024,Y,
Open,3/4/2024 18:45,Vero Beach,FL,USA,Fireball,"Bright orange trail which then seemed to disappear, and reappear as a milky or cloudy orb in the sky still traveling South..lost sight.",3/4/2024,,Rocket
Open,3/4/2024 18:45,Wheat Ridge,CO,USA,Orb,"Orb with halo moving NE and then S, about 20 angular degrees per minute, in 90 seconds of time, in S metro Denver at dusk",3/5/2024,,Rocket
Open,3/4/2024 18:35,Albuquerque,NM,USA,Changing,watched from my front porch,3/5/2024,,Reflection
Open,3/4/2024 18:17,Westminster,CO,USA,Orb,"First, we saw what look like vapor trails, but they were odd looking. A few minutes later we saw the orb floating across the sky.",6/3/2024,Y,Rocket
Open,3/4/2024 18:15,Littleton,CO,USA,Orb,No object was seen only a ring of foggy light in the dusk sky.,3/4/2024,,Rocket
Open,3/4/2024 17:30,Pueblo West,CO,USA,Orb,"White orb descended to 1000 AGL, exploded with a white halo, smoke and changed direction.",3/5/2024,,Rocket
Open,3/4/2024 12:30,Owasso,OK,USA,Triangle,Saw a equal sided black triangle traveling east to west at seemingly high altitude.,4/20/2024,,
Open,3/4/2024 12:00,Scottsdale,AZ,USA,Other,Balloon like object that appeared to be connected to each other elevated in SE direction before moving in the N distance.,3/4/2024,Y,Balloon
Open,3/4/2024 1:30,Pawleys Island,SC,USA,Sphere,Broad daylight. No noise. Looked white metallic,3/6/2024,,
Open,3/3/2024 23:00,Altamonte Springs,FL,USA,Sphere,Had foggy gas following it and was moving super slow. Like hovering over in front of my house.,3/3/2024,,Rocket?
Open,3/3/2024 22:30,El Centro,CA,USA,Light,Blue light zoomed across the desert sky,3/3/2024,,
Open,3/3/2024 22:12,Endicott,NY,USA,Other,"At 1st, thought it was meteor, but it kept going.",3/3/2024,,
Open,3/3/2024 21:32,Inglewood,CA,USA,Orb,Multiple orbs/ lights merging into one.,3/3/2024,,
Open,3/3/2024 21:13,Bakersfield,CA,USA,Orb,Noticed a pair of red orbs that seemingly vanish into thin air followed by single red orbs emerging over a house directly Northeast,4/2/2024,Y,
Open,3/3/2024 21:10,Bakersfield,CA,USA,Unknown,"In the sw sky moving east ish, a total of 7 orange lights, brighter than stars, eventually disappearing in the sky.",3/3/2024,,
Open,3/3/2024 20:55,Davenport,WA,USA,Triangle,Triangle craft moving in crazy way and fast,3/3/2024,,
Open,3/3/2024 20:30,Anaheim,CA,USA,Formation,"3 objects flying in slowly in a straight line formation below cloud cover, then directional maneuvering, vertical maneuvering",3/4/2024,Y,
Open,3/3/2024 19:45,Vernon Township,NJ,USA,Unknown,Looking west saw strange light that was stationary. It split into two . Visibility was clear. At the sane time saw two aircraft.,3/3/2024,,
Open,3/3/2024 18:32,Fairport Harbor,OH,USA,Circle,Pulsating orb that disappeared out of nowhere,3/3/2024,Y,
Open,3/3/2024 18:02,Ashburn,VA,USA,Rectangle,"Black square was hovering, and then it disappeared and reappeared again",3/5/2024,,
Open,3/3/2024 17:30,Lauderhill,FL,USA,Circle,"White circle met up with 2 more white circles, formed a triangle, flew upward into the sky",3/11/2024,,
