Occurred,City,State,Country
"05/21/2024 14:06","Carlisle","PA","USA"
"05/21/2024 10:20","Bartow","FL","USA"
"05/20/2024 21:50","Dundalk","MD","USA"
"05/20/2024 21:45","Owings Mills","MD","USA"
"05/20/2024 16:44","Manteca","CA","USA"
"05/20/2024 14:00","Helena","MT","USA"
"05/20/2024 09:50","Glendale","AZ","USA"
"05/19/2024 12:00","Los Angeles","CA","USA"
"05/19/2024 00:04","Springfield","MO","USA"
"05/18/2024 21:40","Schaumburg","IL","USA"
"05/18/2024 20:41","Hurricane","WV","USA"
"05/18/2024 19:19","El Paso","TX","USA"
"05/18/2024 17:00","Tucson","AZ","USA"
"05/18/2024 00:30","Glen Rose","TX","USA"
"05/17/2024 20:30","Lake Placid","FL","USA"
"05/17/2024 18:12","Denver","CO","USA"
"05/17/2024 16:30","Chicago","IL","USA"
"05/17/2024 13:02","Hugo","CO","USA"
"05/16/2024 22:09","Gerlach","NV","USA"
"05/16/2024 20:24","Atlanta","GA","USA"
"05/16/2024 20:06","Orlando","FL","USA"
"05/16/2024 13:35","Comer","GA","USA"
"05/16/2024 00:40","Cumming","GA","USA"
"05/15/2024 20:48","Raleigh","NC","USA"
"05/15/2024 20:12","Buhl","ID","USA"
"05/15/2024 20:11","Buhl","ID","USA"
"05/15/2024 12:40","Bozeman","MT","USA"
"05/15/2024 03:59","El Dorado Hills","CA","USA"
"05/14/2024 20:08","Gastonia","NC","USA"
"05/14/2024 20:00","Boston","MA","USA"
"05/13/2024 18:40","Washington","DC","USA"
"05/13/2024 17:15","Sarasota","FL","USA"
"05/13/2024 09:27","Batesburg-Leesville","SC","USA"
"05/12/2024 22:12","Otto","NC","USA"
"05/12/2024 20:55","Kissimmee","FL","USA"
"05/12/2024 20:30","Lansing","WV","USA"
"05/12/2024 20:10","White Rock","NM","USA"
"05/12/2024 16:19","Honolulu","HI","USA"
"05/12/2024 14:37","Page","AZ","USA"
"05/11/2024 23:22","Bellingham","WA","USA"
"05/11/2024 23:15","York","ME","USA"
"05/11/2024 22:43","Pomona","CA","USA"
"05/11/2024 22:23","Lincolnton","GA","USA"
"05/11/2024 22:03","Ashwaubenon","WI","USA"
"05/11/2024 22:00","Lake City","MI","USA"
"05/11/2024 22:00","Cody","WY","USA"
"05/11/2024 22:00","Cookeville","TN","USA"
"05/11/2024 21:46","Parlier","CA","USA"
"05/11/2024 21:38","Madison","AL","USA"
"05/11/2024 20:42","Centerton","AR","USA"
"05/11/2024 17:20","Bolivar","MO","USA"
"05/11/2024 17:00","Nashville","TN","USA"
"05/11/2024 16:30","Tacoma","WA","USA"
"05/11/2024 11:46","St. Petersburg","FL","USA"
"05/11/2024 07:13","Redmond","OR","USA"
"05/11/2024 04:44","Levittown","NY","USA"
"05/11/2024 01:38","Seattle","WA","USA"
"05/11/2024 01:25","Hilton","NY","USA"
